**SNo**	**inferable**	**Message**	**Meaning**
1	yes	"=" IS MISSING	“=” does not exist between the parameter and the parameter value
2	yes	"TYPE" IS MISSING	“TYPE” parameter does not exist in the DOPE statement although BOX GAUSS or FREE is designated as a parameter value of PROFILE.
3	no	3-D FILE COORDINATE ERROR !!	The 3D file includes a X or Y coordinate not to be defined at the top of the file.
4	no	3-D FILE READ ERROR !!	The 3D file for DOPE or REGION statement cannot be read.
5	yes	Array of value exceed 255!!	The array number in a parenthesis exceeds 255 in DEFINE statement.
6	maybe	BIAS ERROR	BIAS statement has an error
7	maybe	DEFINE INPUT ERROR !!	DEFINE statement has an error
8	no	DOPE MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the DOPE statement exists out of the calculated structure.
9	no	ELECTRODE MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the ELECTRODE statement exists out of the calculated structure.
10	maybe	ELECTRODE NAME ERROR !!	The designated electrode name does not exist in the RESTART file in OLD_ELECTRODE = Y case.
11	yes	Elements of value exceed 255!!	The element number of VALUE in a parenthesis exceeds 255 in DEFINE
12	yes	ENAME ERROR !! --> ENAME=	The electrode name in EXTRACT statement does not exist in ant ELECTRODE statements.
13	yes	ENAME, NFNAME or PFNAME can not be found	The name of ELECTRODE NFERMI or PFERMI in BIAS statement is not defined.
14	yes	ERROR ( GRID-XMAX > STRUCT-XMAX )	The maximum X-coordinate in GRID statement is larger than XMAX in STRUCTURE statement.
15	yes	ERROR ( GRID-YMAX > STRUCT-YMAX )	The maximum Y-coordinate in GRID statement is larger than YMAX in STRUCTURE statement.
16	yes	ERROR ( GRID-ZMIN < STRUCT-ZMIN )	The minimum Z-coordinate in GRID statement is smaller than ZMIN in STRUCTURE statement.
17	yes	ERROR ( GRID-ZMAX > STRUCT-ZMAX )	The maximum Z-coordinate in GRID statement is larger than ZMAX in STRUCTURE statement.
18	maybe	EXTRACT MASK FILE READ ERROR: PLURAL POLYGON!!	The designated MASK file in EXTRACT statement includes plural polygons.
19	no	EXTRACT MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the EXTRACT statement exists out of the calculated structure.
20	no	FILE FORMAT IS MISSMATCH -->	The file format of 1D impurity profile in DOPE statement or the light intensity file in LIGHT statement is not appropriate.
21	yes	FILE PARAMETER IS NOT DEFINED!!	A file parameter is not designated in EXTRACT statement.
22	no	GDS MASK-DATA INPUT ERROR !!	An error occurred in reading the GDS data file.
23	maybe	GRID PARAMETER IS MISMATCH!!	The \*PLUS parameter is mismatched for \*MIN and \*MAX parameters in the GRID statement.
24	no	Impurity file includes more than 1000 points !! *** FILE= Reduce the number of points or use SKIP parameter	The number of depth and concentration pairs in the FREE file exceeds the limit of 1000 in the DOPE statement. It is needed to reduce the number of pairs or use SKIP parameter.
25	maybe	INPUT ERROR *** SUPREM CAN USE ONLY "ELEM"	The ELEMENT parameter is not designated in DOPE statement although 1D SUPREM file is designated.
26	maybe	INSERT ERROR: WORD=	The inappropriate parameter exists in the INSERT statement.
27	no	INSERT FILE ERROR: FILE=	The designated file in INSERT statement cannot be opened.
28	no	INTERFACE MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the INTERFACE statement exists out of the calculated structure.
29	no	ISE-2D DATA FILE OPEN ERROR	The impurity file of ISE-2D cannot be opened.
30	no	ISE-2D DATA FILE READ ERROR	An error occurred in reading the impurity file of ISE-2D.
31	no	ISE-2D GRID FILE OPEN ERROR	The grid file of ISE-2D cannot be opened
32	no	ISE-2D GRID FILE READ ERROR	An error occurred in reading the grid file of ISE-2D.
33	yes	IT IS A WRONG PARAMETER	The designated parameter name is not appropriate.
34	yes	IT IS A WRONG VALUE	The designated parameter value is not appropriate.
35	yes	IT IS A WRONG STATEMENT	The designated statement is not appropriate.
36	yes	IT IS NOT DEFINED :	The user parameter is not defined in any DEFINE statements.
37	maybe	Lateral diffusion is not correct !!	The lateral diffusion length is assumed to be zero because the diffusion length along depth direction cannot be detected.
38	yes	Lateral diffusion length is larger than struct Xmax*\|Xrepeat\|/2	The lateral diffusion length is larger than the product of Xmax of STRUCTURE statement and half of the absolute value of Xrepeat of DOPE statement.
39	yes	Lateral diffusion length is larger than struct Ymax*\|Yrepeat\|/2	The lateral diffusion length is larger than the product of Ymax of STRUCTURE statement and half of the absolute value of Yrepeat of DOPE statement.
40	no	LIGHT MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the LIGHT statement exists out of the calculated structure.
41	no	MASK-DATA INPUT ERROR !!	The designated MASK data is wrong format.
42	no	MASK OPERATION ERROR !!	An error occurred in the AND/OR/TRIM operation of MASK data.
43	no	N-CURRENT NOT CONVERGED	The electron current calculation was not converged.
44	no	NFERMI MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the NFERMI statement exists out of the calculated structure.
45	no	NFERMI SPECIFIED REGION OUT OF STRUCTURE!!	A part of the box region defined by Xmin Xmax Ymin Ymax Zmin and Zmax in NFERMI statement exists out of the calculated structure.
46	yes	NFNAME and PFNAME should not be defined simultaneously	Both of NFNAME and PFNAME are designated in a BIAS statement although it is prohibited.
47	no	NO SPECIFIED DATA IN MASK-FILE !!	The specified cell layer and data type does not exist in the MASK file.
48	yes	Number Error !!	A non-number value is specified as the parameter value which must be number.
49	yes	Number of BIAS cards must be less than 100	The total number of BIAS statements exceeds the limit of 100.
50	yes	Odd number input!!	The total number of arguments in POLYGON function is odd number.
51	maybe	P-CURRENT NOT CONVERGED	The hole current calculation was not converged.
52	no	PFERMI MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the PFERMI statement exists out of the calculated structure.
53	no	PFERMI SPECIFIED REGION OUT OF STRUCTURE!!	A part of the box region defined by Xmin Xmax Ymin Ymax Zmin and Zmax in PFERMI statement exists out of the calculated structure.
54	yes	Points more than 1000!!	The vertices in the POLYGON function exceeds the limit of 1000.
55	maybe	POINT DOUBLY DETECTED!!	An error occurred in dividing the polygon designated in the DOPE statement.
56	no	POLYGON CLIPPING ERROR!!	An error occurred in trimming the designated polygon.
57	no	POLYGON INPUT ERROR !!	An error occurred in dividing the designated polygon
58	no	POLYGON ERROR !!	The designated POLYGON function has a problem.
59	no	POLYGON TWISTED !!	The designated polygon in DOPE statement is twisted.
60	no	POLYGON CANNOT BE DIVIDED INTO RECTANGLES !!	An error occurred in dividing the polygon designated in DOPE statement into rectangles.
61	no	POTENTIAL NOT CONVERGED	The absolute value of potential exceeded the limit of 100 Volts in the potential calculation.
62	maybe	PWL COORDINATE INPUT ERROR !!	The total number of arguments in a PWL function is odd number or exceeds the limit of 200.
63	no	RayTrace File Read Error !!	An error occurred in reading TOCCATA*.rtd file.
64	no	REGION MASK POLYGON OUT OF STRUCTURE!!	A part of the designated polygon in the REGION statement exists out of the calculated structure.
65	no	REGION COORDINATE OUT OF RANGE!!	A part of the box region defined by Xmin Xmax Ymin Ymax Zmin and Zmax in REGION statement exists out of the calculated structure.
66	no	RSSUPREM4 FILE READ ERROR !!	An error occurred in reading structure from the SILVACO SSUPREM4 file.
67	no	SSUPREM4 FILE READ ERROR !	An error occurred in reading impurity profile from the SILVACO SSUPREM4 file.
68	yes	STRUCTURE ERROR: ZMIN MUST BE NEGATIVE	The designated ZMIN value in STRUCTURE statement is positive although it must be negative.
69	no	SUPREM4 FILE READ ERROR !!	An error occurred in reading the structure or impurity concentration from the SUPREM4 file.
70	no	THE FILE DOES NOT EXIST :	The designated file does not exist.
71	no	THE INPUT FILE DOES NOT EXIST :	The input file does not exist.
72	no	THE LOCOS REGION NOT EXIST	The LOCOS structure mask name designated by LOCOS parameter in DOPE statement does not exist in any REGION statements.
73	no	THIS FILE IS OLD VERSION TOCCATA ABSORPTION COEFFICIENT CANNOT BE USED	Since the designated *.rtd file is old version the absorption coefficient cannot be read.
74	no	THIS FILE IS OLD VERSION TOCCATA REFRACTIVE INDEX CANNOT BE USED	Since the designated *.rtd file is old version the refractive index cannot be read.
75	no	TIF FILE READ ERROR	An error occurred in reading the TSUPREM4 TIF format file.
76	yes	Too few points in polygon	The number of vertices in the designated polygon is less than three.
77	no	TOO MANY EDGES IN SUPREM4 FILE: EDGE NUMBER MUST BE LESS THAN	The total edge number in the designated SUPREM4 file exceeds the limit.
78	yes	TOO MANY EXTRACT PARAMETERS!!	The total number of extracted parameters in the EXTRACT statement exceeds the limit of 30.
79	no	TOO MANY FACES IN SUPREM4 FILE: FACE NUMBER MUST BE LESS THAN	The total face number in the designated SUPREM4 file exceeds the limit.
80	no	TOO MANY CELLS IN SUPREM4 FILE: CELL NUMBER MUST BE LESS THAN	The total cell number in the designated SUPREM4 file exceeds the limit.
81	no	TOO MANY NODES IN SUPREM4 FILE: NODE NUMBER MUST BE LESS THAN	The total node number in the designated SUPREM4 file exceeds the limit.
82	yes	TOO MANY POINTS FOR LOCOS: THE NUMBER OF THE POINTS MUST BE LESS THAN	The total array number in a parenthesis for LOCOS shape in REGION statement exceeds the limit.
83	yes	Too many points in polygon :	The total number of vertices in the polygon of the designated MASK exceeds the limit of 1000.
84	yes	Too many polygons :	The total number of polygons included in the designated MASK exceeds the limit of 255.
85	maybe	Too many rectangles :	The total number of rectangles included in the designated MASK exceeds the limit of 255.
86	maybe	TOO MANY LOOPS!!	The nested loop stage number designated in DEFINE statement exceeds the limit of 10.
87	maybe	TOO MANY RECTANGLES !!	The total number of rectangles created from the MASK polygon in DOPE statement exceeds the limit of 1000.
88	yes	TOO MANY STATEMENTS NUMBER OF THE STATEMENT MUST BE LESS THAN	The total number of the STATEMENTs exceeds the limit.
89	no	TOO MANY STEPS IN THE POLYGON STEP NUMBER MUST BE LESS THAN	The STEP number of an oblique side of the polygon designated in DOPE statement exceeds the limit.
90	maybe	TOO MANY VERTICES IN THE MASK	The vertices in the MASK exceeds the limit of 4000 in AND/OR/TRIM MASK operation.
91	no	TOO SMALL MAXIMUM IMPURITY CONCENTRATION!!	The maximum concentration in the 1D impurity file in DOPE statement is less than 1E-6cm-3 in the case of PROFILE = FREE.
92	no	TOTAL GRID NUMBER ( ) EXCEEDS LIMIT IT MUST BE LESS THAN	The total grid number exceeds the limit value.
93	yes	VOLTAGE RANGE IS TOO LARGE !!	The voltage range of the ELECTRODE NFERMI and PFERMI parameters exceeds 34 volts.
94	no	VSTEP Calculation Error	An error occurred in the current calculation in the case of FLOAT=N or P designated in the BIAS statement.
95	no	VSTEP Function Error !!	An error occurred in the current calculation in the case of FLOAT = N or P designated in the BIAS statement.